samples: 84837  positives: 7266
ensemble (soft vote @ threshold 0.05):
  accuracy: 0.1751
  precision: 0.2410
  recall: 0.3902
  f1: 0.2980
threshold sweep (ensemble):
  thresh     acc    prec  recall      f1
    0.05  0.1751  0.2410  0.3902  0.2980
    0.10  0.1572  0.2536  0.2925  0.2717
    0.15  0.1475  0.2595  0.2547  0.2571
    0.20  0.1401  0.2597  0.2331  0.2457
    0.25  0.1326  0.2622  0.2115  0.2341
    0.30  0.1252  0.2674  0.1905  0.2225
    0.35  0.1300  0.4449  0.1551  0.2300
    0.40  0.1126  0.5257  0.1254  0.2025
    0.45  0.0918  0.5737  0.0985  0.1682
    0.50  0.0693  0.5973  0.0727  0.1296
    0.55  0.0490  0.6399  0.0504  0.0934
    0.60  0.0286  0.6720  0.0290  0.0557
    0.65  0.0187  0.7446  0.0189  0.0368
    0.70  0.0155  0.8828  0.0156  0.0306
    0.75  0.0111  0.9205  0.0111  0.0220
    0.80  0.0089  0.9286  0.0089  0.0177
    0.85  0.0065  0.9792  0.0065  0.0129
    0.90  0.0039  0.9655  0.0039  0.0077
    0.95  0.0021  1.0000  0.0021  0.0041
per classifier (@ 0.5):
  logreg_classifier: accuracy=0.1078  precision=0.2374  recall=0.1650  f1=0.1947
  knn_classifier: accuracy=0.0657  precision=0.3862  recall=0.0734  f1=0.1233
  xgboost_classifier: accuracy=0.0641  precision=0.4303  recall=0.0701  f1=0.1205
