samples: 4038  positives: 104
ensemble (soft vote @ threshold 0.35):
  accuracy: 0.2193
  precision: 0.7143
  recall: 0.2404
  f1: 0.3597
threshold sweep (ensemble):
  thresh     acc    prec  recall      f1
    0.05  0.1294  0.1398  0.6346  0.2292
    0.10  0.1654  0.2113  0.4327  0.2839
    0.15  0.1759  0.2533  0.3654  0.2992
    0.20  0.1791  0.2707  0.3462  0.3038
    0.25  0.1742  0.2952  0.2981  0.2967
    0.30  0.1918  0.4000  0.2692  0.3218
    0.35  0.2193  0.7143  0.2404  0.3597
    0.40  0.1852  0.8333  0.1923  0.3125
    0.45  0.1574  0.8095  0.1635  0.2720
    0.50  0.1019  0.7333  0.1058  0.1849
    0.55  0.0755  0.8000  0.0769  0.1404
    0.60  0.0566  0.7500  0.0577  0.1071
    0.65  0.0283  0.6000  0.0288  0.0550
    0.70  0.0286  0.7500  0.0288  0.0556
    0.75  0.0192  1.0000  0.0192  0.0377
    0.80  0.0096  1.0000  0.0096  0.0190
    0.85  0.0096  1.0000  0.0096  0.0190
    0.90  0.0000  0.0000  0.0000  0.0000
    0.95  0.0000  0.0000  0.0000  0.0000
per classifier (@ 0.5):
  logreg_classifier: accuracy=0.1667  precision=0.3521  recall=0.2404  f1=0.2857
  knn_classifier: accuracy=0.0736  precision=0.1690  recall=0.1154  f1=0.1371
  xgboost_classifier: accuracy=0.0571  precision=0.8571  recall=0.0577  f1=0.1081
