epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.96417,1.63142,2.21153,1.45026,0.65042,0.55556,0.59151,0.40372,1.22965,1.90125,1.1077,2e-05,2e-05,2e-05
2,5.00082,1.49178,2.2337,1.42613,0.60377,0.61111,0.58948,0.39615,1.21329,1.97003,1.11037,5.9406e-05,5.9406e-05,5.9406e-05
3,6.3546,1.33587,2.00666,1.34802,0.54474,0.72222,0.53099,0.35383,1.23805,2.07023,1.15347,9.802e-05,9.802e-05,9.802e-05
4,7.71816,1.24026,1.36221,1.27603,0.55565,0.62575,0.52495,0.29595,1.31656,3.37565,1.24653,0.000135842,0.000135842,0.000135842
5,9.03686,0.97552,1.1572,1.16271,0.501,0.66667,0.50866,0.26633,1.42691,3.20632,1.2853,0.000172872,0.000172872,0.000172872
6,10.2984,1.06773,1.14688,1.15065,0.38236,0.61111,0.35414,0.18432,1.55189,3.13703,1.40342,0.00020911,0.00020911,0.00020911
7,11.7755,0.97298,1.03207,1.15515,0.42091,0.5,0.37246,0.20886,1.58134,2.96712,1.38587,0.000244556,0.000244556,0.000244556
8,13.2272,1.10961,0.96743,1.12832,0.47417,0.66667,0.38944,0.19256,1.70951,2.72283,1.49229,0.00027921,0.00027921,0.00027921
9,14.5871,0.99673,0.8482,1.105,0.51834,0.66667,0.53432,0.24767,1.63854,2.35472,1.4441,0.000313072,0.000313072,0.000313072
10,15.8639,0.87043,0.7324,1.01293,0.65511,0.61111,0.66902,0.31691,1.52376,1.94365,1.39237,0.000346142,0.000346142,0.000346142
11,17.1743,0.87254,0.70741,1.01243,0.57915,0.61165,0.67406,0.37346,1.44329,1.77121,1.37054,0.00037842,0.00037842,0.00037842
12,18.4748,1.02295,0.86299,1.08691,0.64219,0.55556,0.64609,0.35969,1.4549,2.43491,1.36598,0.000409906,0.000409906,0.000409906
13,19.7672,0.91278,0.83178,1.05531,0.50923,0.69231,0.63058,0.35445,1.53019,2.9398,1.3757,0.0004406,0.0004406,0.0004406
14,21.063,1.05669,0.85116,1.07713,0.47651,0.44444,0.53934,0.30819,1.51421,3.22813,1.3908,0.000470502,0.000470502,0.000470502
15,22.317,0.90196,0.8094,1.08687,0.41763,0.598,0.45853,0.24973,1.47902,3.61478,1.4049,0.000499612,0.000499612,0.000499612
16,23.7074,0.95065,0.80835,1.05623,0.42554,0.5,0.4534,0.22767,1.55761,3.65272,1.41723,0.00052793,0.00052793,0.00052793
17,25.1683,0.90323,0.69709,0.99401,0.45719,0.66667,0.48658,0.29407,1.58175,3.55244,1.42585,0.000555456,0.000555456,0.000555456
18,26.5919,0.80813,0.77326,1.02523,0.50197,0.61111,0.51908,0.32692,1.60543,3.33416,1.40829,0.00058219,0.00058219,0.00058219
19,27.8796,0.7568,0.71435,0.9947,0.50261,0.55556,0.51986,0.30372,1.6229,2.84732,1.38758,0.000608132,0.000608132,0.000608132
20,29.2751,0.80061,0.72425,1.03061,0.51957,0.55556,0.47047,0.28842,1.55077,3.56318,1.27756,0.000633282,0.000633282,0.000633282
21,30.5672,0.96399,0.79552,1.06088,0.44708,0.61111,0.44535,0.26766,1.55,3.9125,1.32974,0.00065764,0.00065764,0.00065764
22,31.8944,0.92189,0.776,1.054,0.48367,0.61111,0.44288,0.24984,1.54029,4.00093,1.33931,0.000681206,0.000681206,0.000681206
23,33.2913,0.79732,0.75851,0.99728,0.42673,0.61111,0.3576,0.18319,1.6056,4.00156,1.37695,0.00070398,0.00070398,0.00070398
24,34.6374,0.83551,0.74546,1.07095,0.3711,0.66667,0.30915,0.16298,1.48934,4.38164,1.2596,0.000725962,0.000725962,0.000725962
