epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9779,1.63727,3.14112,1.56511,0.01382,0.72222,0.02091,0.01133,1.39008,3.20262,1.39286,2e-05,2e-05,2e-05
2,15.2603,1.73776,3.19651,1.64824,0.01407,0.72222,0.02592,0.0141,1.41356,3.20766,1.40219,5.9406e-05,5.9406e-05,5.9406e-05
3,16.2695,1.36064,3.15835,1.3938,0.0158,0.77778,0.03258,0.01697,1.35883,3.22087,1.36017,9.802e-05,9.802e-05,9.802e-05
4,17.1908,1.44458,3.00041,1.38403,0.01498,0.72222,0.03251,0.01742,1.36209,3.21714,1.38123,0.000135842,0.000135842,0.000135842
5,18.1609,1.15223,2.68843,1.25897,0.01382,0.66667,0.03737,0.02002,1.3964,3.19818,1.39637,0.000172872,0.000172872,0.000172872
6,19.1388,1.1748,2.61667,1.25098,0.01368,0.66667,0.04092,0.02173,1.45776,3.16723,1.42557,0.00020911,0.00020911,0.00020911
7,20.1416,1.23874,2.25199,1.26857,0.01379,0.72222,0.04508,0.0226,1.48163,3.08793,1.44123,0.000244556,0.000244556,0.000244556
8,21.186,1.47109,2.02163,1.27545,0.01491,0.83333,0.0515,0.02883,1.53111,2.96163,1.45748,0.00027921,0.00027921,0.00027921
9,22.1083,1.24088,1.74015,1.19094,0.0139,0.83333,0.12426,0.08681,1.58962,2.8883,1.47828,0.000313072,0.000313072,0.000313072
10,23.095,1.0945,1.49069,1.08017,0.01381,0.83333,0.31963,0.21279,1.66034,2.81956,1.54146,0.000346142,0.000346142,0.000346142
11,24.0666,1.15569,1.52118,1.10442,0.01407,0.83333,0.33471,0.2043,1.69697,2.79932,1.604,0.00037842,0.00037842,0.00037842
12,24.9859,1.21996,1.26753,1.15053,0.20595,0.55556,0.42212,0.21228,1.81264,2.77941,1.65715,0.000409906,0.000409906,0.000409906
13,25.9131,1.15612,1.43766,1.15951,0.65594,0.31904,0.4098,0.21867,1.8902,2.80812,1.72355,0.0004406,0.0004406,0.0004406
14,26.8638,1.20257,1.2687,1.12441,0.79555,0.21728,0.30677,0.16326,2.02507,2.9341,1.76197,0.000470502,0.000470502,0.000470502
15,27.8487,1.1185,1.29894,1.17109,1,0.21279,0.27862,0.15579,1.98272,2.99179,1.76576,0.000499612,0.000499612,0.000499612
16,29.1487,1.17886,1.30485,1.15842,1,0.19884,0.29243,0.17593,1.91389,2.97478,1.72895,0.00052793,0.00052793,0.00052793
17,30.1662,1.13108,1.15871,1.09319,1,0.20801,0.30979,0.19798,1.85345,2.93525,1.70856,0.000555456,0.000555456,0.000555456
18,31.1641,1.07243,1.13348,1.14,1,0.16032,0.32399,0.19937,1.9171,2.92725,1.76129,0.00058219,0.00058219,0.00058219
19,32.1047,1.01736,1.10919,1.11126,1,0.16222,0.29581,0.17653,2.00382,2.97339,1.77602,0.000608132,0.000608132,0.000608132
20,33.1322,0.9511,1.00652,1.09283,1,0.14705,0.27838,0.14663,2.0813,3.06547,1.73019,0.000633282,0.000633282,0.000633282
21,34.039,1.14844,1.05773,1.17752,0.72111,0.11111,0.25115,0.13101,2.03699,3.03997,1.68969,0.00065764,0.00065764,0.00065764
22,35.0807,1.07937,1.07852,1.11348,0.59081,0.11111,0.23626,0.12314,1.87787,3.03912,1.59135,0.000681206,0.000681206,0.000681206
23,36.037,0.89683,0.94844,1.04415,0.71288,0.14192,0.25231,0.15235,1.83296,2.9767,1.60234,0.00070398,0.00070398,0.00070398
24,36.9748,1.00029,0.93728,1.12537,0.55056,0.11111,0.22814,0.12507,1.83268,2.85764,1.57123,0.000725962,0.000725962,0.000725962
25,37.9112,0.95251,0.92576,1.03405,0.44715,0.13731,0.23475,0.13914,1.72601,2.69637,1.49198,0.000747152,0.000747152,0.000747152
26,38.8867,0.85508,0.97351,1.01173,0.33709,0.16667,0.2186,0.11143,1.75703,2.58271,1.51415,0.00076755,0.00076755,0.00076755
27,39.8472,1.10124,1.037,1.08701,0.40157,0.18792,0.2845,0.14715,1.87798,2.52902,1.62747,0.000787156,0.000787156,0.000787156
28,40.7072,0.94009,0.87783,1.02713,0.40157,0.18792,0.2845,0.14715,1.87798,2.52902,1.62747,0.00080597,0.00080597,0.00080597
29,41.6216,1.08175,1.05398,1.0734,0.59613,0.24783,0.35699,0.20669,1.94521,2.38414,1.70237,0.000823992,0.000823992,0.000823992
30,42.5428,0.92105,0.90172,1.00866,0.6269,0.27778,0.32727,0.16547,2.15854,2.34836,1.87396,0.000841222,0.000841222,0.000841222
31,43.3753,0.9975,0.95558,1.05613,0.6269,0.27778,0.32727,0.16547,2.15854,2.34836,1.87396,0.00085766,0.00085766,0.00085766
32,44.3168,0.98837,0.93675,1.10066,0.60977,0.26198,0.27696,0.12097,2.32932,2.40198,1.91205,0.000873306,0.000873306,0.000873306
33,45.2098,0.97946,0.98457,1.06128,0.40326,0.27778,0.24224,0.10613,2.25932,2.4192,1.83341,0.00088816,0.00088816,0.00088816
34,46.0925,0.96554,0.95624,1.0811,0.40326,0.27778,0.24224,0.10613,2.25932,2.4192,1.83341,0.000902222,0.000902222,0.000902222
35,47.0571,0.99875,0.897,1.07155,0.45984,0.27778,0.24679,0.11331,1.83984,2.33035,1.56796,0.000915492,0.000915492,0.000915492
36,47.9929,1.05883,0.9804,1.10125,0.27451,0.33333,0.24182,0.13737,1.8064,2.33423,1.55255,0.00092797,0.00092797,0.00092797
37,48.9298,0.89688,0.87454,1.00979,0.27451,0.33333,0.24182,0.13737,1.8064,2.33423,1.55255,0.000939656,0.000939656,0.000939656
38,49.8617,0.98762,0.9325,1.11145,0.32053,0.38889,0.22816,0.14143,1.8015,2.30749,1.52894,0.00095055,0.00095055,0.00095055
39,50.8757,0.83754,0.82771,1.02419,0.31333,0.27778,0.24967,0.15076,1.74831,2.31762,1.50443,0.000960652,0.000960652,0.000960652
40,51.7385,1.0565,0.97119,1.09798,0.31333,0.27778,0.24967,0.15076,1.74831,2.31762,1.50443,0.000969962,0.000969962,0.000969962
41,52.6798,0.9061,0.99827,1.05001,0.42721,0.22222,0.22424,0.1332,1.80453,2.53172,1.53803,0.00097848,0.00097848,0.00097848
42,53.6493,0.91462,0.81771,1.05665,0.12537,0.22222,0.10013,0.0584,2.01067,2.97067,1.65726,0.000986206,0.000986206,0.000986206
43,54.5219,0.84128,0.86325,1.00016,0.12537,0.22222,0.10013,0.0584,2.01067,2.97067,1.65726,0.00099314,0.00099314,0.00099314
44,55.4863,0.93461,0.93365,1.04984,0.19659,0.22222,0.0933,0.04831,2.03134,3.10356,1.69223,0.000999282,0.000999282,0.000999282
45,56.4073,0.98824,0.88603,1.11486,0.19659,0.22222,0.0933,0.04831,2.03134,3.10356,1.69223,0.00100463,0.00100463,0.00100463
46,57.3632,1.0066,0.92877,1.03859,0.22829,0.27778,0.12062,0.06536,1.94936,2.7764,1.69682,0.00100919,0.00100919,0.00100919
47,58.2519,0.83132,0.80506,0.98369,0.22829,0.27778,0.12062,0.06536,1.94936,2.7764,1.69682,0.00101296,0.00101296,0.00101296
48,59.181,0.83553,0.83111,1.01672,0.25871,0.27778,0.20488,0.12657,1.95332,2.31466,1.72506,0.00101593,0.00101593,0.00101593
49,60.1132,0.97133,0.89266,1.08853,0.25871,0.27778,0.20488,0.12657,1.95332,2.31466,1.72506,0.00101811,0.00101811,0.00101811
50,61.0693,0.9392,0.92267,1.04268,0.40005,0.27778,0.28837,0.14346,2.04103,2.08805,1.77536,0.0010195,0.0010195,0.0010195
51,61.9537,0.94768,0.80346,1.03031,0.40005,0.27778,0.28837,0.14346,2.04103,2.08805,1.77536,0.00101,0.00101,0.00101
